,R0002_55043311,R0002_55036002,R0002_55015378,R0002_55032731,R0002_55025944,R0002_55024341,R0002_55041509,R0002_55036059,R0002_55037787,R0002_55039851,R0002_55032782,R0002_55036171,R0002_55035505,R0002_55011002,R0002_55031467,R0002_55028991,R0002_55027831,R0002_55038839,R0002_55019960,R0002_55033035,R0002_55006197,R0002_55036505,R0002_55044076,R0002_55036050,R0002_55037530,R0002_55040793,R0002_55043136,R0002_55014421,R0002_55003518,R0002_55027319,R0002_55035727,R0002_55032858,R0002_55029026,R0002_55039889,R0002_55041025,R0002_55041833,R0002_55031084,R0002_55030125,R0002_55011220,R0002_55043779,R0002_55026664,R0002_55037878,R0002_55043901,R0002_55037718,R0002_55042075,R0002_55031358,R0002_55025080,R0002_55037283,R0002_55019387,R0043_55035478,R0043_55032756,R0043_55039677,R0043_55039678,R0043_55029067,R0043_55036252,R0043_55034675,R0043_55031083,R0043_55036209,R0043_55035181,R0043_55032758,R0043_55039681,R0043_55039682,R0043_55039683,R0043_55039684,R0043_55032632,R0043_55021537,R0043_55041926,R0043_55029012,R0043_55034882,R0043_55039679,R0043_55032862,R0043_55032759,R0043_55037980,R0043_55037979,R0043_55027552,R0043_55034879,R0043_55032908,R0043_55039686,R0043_55032863,R0043_55009127,R0043_55036250,R0043_55034880,R0043_55032860,R0043_55029506,R0043_55031288,R0043_55036124,R0043_55039830,R0043_55034325,R0043_55039829,R0043_55031080,R0043_55031077,R0043_55017366,R0043_55034335,R0043_55031005,R0055_55007584,R0055_55007583,R0204_55005925,R0204_55032685,R0204_55035156,R0204_55022352,R0204_55004131,R0207_55036375,R0207_55032672,R0207_55032673,R0290_55038074,R0290_55041439,R0290_55041442,R0290_55041438,R0290_55041440,R0290_55041441,R0290_55030423,R0290_55039755,R0290_55026840,R0290_55038681,R0290_55033209,R0290_55043722,R0377_55039577,R0377_55032663,R0377_55036003,R0377_55036004,R0377_55036006,R0377_55036007,R0377_55036008,R0377_55036009,R0377_55043375,R0377_55032655,R0377_55034860,R0377_55042881,R0377_55033035,R0377_55044076,R0377_55036698,R0377_55032664,R0377_55038331,R0377_55041814,R0377_55041025,R0377_55039651,R0377_55044100,R0377_55026719
R0002_55032858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.08839445365174056,0.08839445365174056,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.1015428438396298,0.1015428438396298,0.1015428438396298,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447
R0002_55029026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.08839445365174056,0.08839445365174056,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.1015428438396298,0.1015428438396298,0.1015428438396298,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447
R0002_55039889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.08839445365174056,0.08839445365174056,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.1015428438396298,0.1015428438396298,0.1015428438396298,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447
R0002_55041025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.08839445365174056,0.08839445365174056,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.1015428438396298,0.1015428438396298,0.1015428438396298,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447
R0002_55041833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.08839445365174056,0.08839445365174056,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.1015428438396298,0.1015428438396298,0.1015428438396298,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447
R0002_55031084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.08839445365174056,0.08839445365174056,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.1015428438396298,0.1015428438396298,0.1015428438396298,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447
R0002_55030125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.08839445365174056,0.08839445365174056,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.1015428438396298,0.1015428438396298,0.1015428438396298,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447
R0002_55011220,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.08839445365174056,0.08839445365174056,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.1015428438396298,0.1015428438396298,0.1015428438396298,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447
R0002_55043779,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.08839445365174056,0.08839445365174056,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.1015428438396298,0.1015428438396298,0.1015428438396298,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447
R0002_55026664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.08839445365174056,0.08839445365174056,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.1015428438396298,0.1015428438396298,0.1015428438396298,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447
R0002_55037878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.08839445365174056,0.08839445365174056,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.1015428438396298,0.1015428438396298,0.1015428438396298,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447
R0002_55043901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.1251299684541022,0.08839445365174056,0.08839445365174056,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.17369672695904395,0.1015428438396298,0.1015428438396298,0.1015428438396298,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.168510120638017,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447,0.21421824442932447
