job_from,job_to,coverage
R0002_55036002,R0002_55041509,1.0
R0002_55036002,R0002_55036059,1.0
R0002_55036002,R0002_55037787,1.0
R0002_55036002,R0002_55039851,1.0
R0002_55036002,R0002_55032782,1.0
R0002_55036002,R0002_55036171,1.0
R0002_55036002,R0002_55035505,1.0
R0002_55036002,R0002_55011002,1.0
R0002_55036002,R0002_55031467,1.0
R0002_55036002,R0002_55028991,1.0
R0002_55036002,R0002_55027831,1.0
R0002_55036002,R0002_55038839,1.0
R0002_55036002,R0002_55019960,1.0
R0002_55036002,R0002_55033035,1.0
R0002_55036002,R0002_55006197,1.0
R0002_55036002,R0002_55036505,1.0
R0002_55036002,R0002_55044076,1.0
R0002_55036002,R0002_55036050,1.0
R0002_55036002,R0002_55037530,1.0
R0002_55036002,R0002_55040793,1.0
R0002_55036002,R0002_55043136,1.0
R0002_55036002,R0002_55014421,1.0
R0002_55036002,R0002_55003518,1.0
R0002_55036002,R0002_55027319,1.0
R0002_55036002,R0002_55035727,1.0
R0002_55036002,R0002_55032858,1.0
R0002_55036002,R0002_55029026,1.0
R0002_55036002,R0002_55039889,1.0
R0002_55036002,R0002_55041025,1.0
R0002_55036002,R0002_55041833,1.0
R0002_55036002,R0002_55031084,1.0
R0002_55036002,R0002_55030125,1.0
R0002_55036002,R0002_55011220,1.0
R0002_55036002,R0002_55043779,1.0
R0002_55036002,R0002_55026664,1.0
R0002_55036002,R0002_55037878,1.0
R0002_55036002,R0002_55043901,1.0
R0002_55036002,R0002_55037718,1.0
R0002_55036002,R0002_55042075,1.0
R0002_55036002,R0002_55031358,1.0
R0002_55036002,R0002_55025080,1.0
R0002_55036002,R0002_55037283,1.0
R0002_55036002,R0002_55019387,1.0
R0002_55036002,R0043_55035478,0.40816326530612246
R0002_55036002,R0043_55032756,0.40816326530612246
R0002_55036002,R0043_55039677,0.40816326530612246
R0002_55036002,R0043_55039678,0.40816326530612246
R0002_55036002,R0043_55029067,0.40816326530612246
R0002_55036002,R0043_55036252,0.40816326530612246
R0002_55036002,R0043_55034675,0.40816326530612246
R0002_55036002,R0043_55031083,0.40816326530612246
R0002_55036002,R0043_55036209,0.40816326530612246
R0002_55036002,R0043_55035181,0.40816326530612246
R0002_55036002,R0043_55032758,0.40816326530612246
R0002_55036002,R0043_55039681,0.40816326530612246
R0002_55036002,R0043_55039682,0.40816326530612246
R0002_55036002,R0043_55039683,0.40816326530612246
R0002_55036002,R0043_55039684,0.40816326530612246
R0002_55036002,R0043_55032632,0.40816326530612246
R0002_55036002,R0043_55021537,0.40816326530612246
R0002_55036002,R0043_55041926,0.40816326530612246
R0002_55036002,R0043_55029012,0.40816326530612246
R0002_55036002,R0043_55034882,0.40816326530612246
R0002_55036002,R0043_55039679,0.40816326530612246
R0002_55036002,R0043_55032862,0.40816326530612246
R0002_55036002,R0043_55032759,0.40816326530612246
R0002_55036002,R0043_55037980,0.40816326530612246
R0002_55036002,R0043_55037979,0.40816326530612246
R0002_55036002,R0043_55027552,0.40816326530612246
R0002_55036002,R0043_55034879,0.40816326530612246
R0002_55036002,R0043_55032908,0.40816326530612246
R0002_55036002,R0043_55039686,0.40816326530612246
R0002_55036002,R0043_55032863,0.40816326530612246
R0002_55036002,R0043_55009127,0.40816326530612246
R0002_55036002,R0043_55036250,0.40816326530612246
R0002_55036002,R0043_55034880,0.40816326530612246
R0002_55036002,R0043_55032860,0.40816326530612246
R0002_55036002,R0043_55029506,0.40816326530612246
R0002_55036002,R0043_55031288,0.40816326530612246
R0002_55036002,R0043_55036124,0.40816326530612246
R0002_55036002,R0043_55039830,0.40816326530612246
R0002_55036002,R0043_55034325,0.40816326530612246
R0002_55036002,R0043_55039829,0.40816326530612246
R0002_55036002,R0043_55031080,0.40816326530612246
R0002_55036002,R0043_55031077,0.40816326530612246
R0002_55036002,R0043_55017366,0.40816326530612246
R0002_55036002,R0043_55034335,0.40816326530612246
